plot,year,focal_species,neighbor_species,current_focal_cover,previous_focal_cover,previous_neighbor_cover,season_length_ds
10,2012,POBI6,MIOB2,0.01,0,0.03,245
10,2012,POBI6,LLSE,0.01,0,0.04,245
10,2012,POBI6,2LTR,0.01,0,0.36,245
10,2012,POBI6,ERSI3,0.01,0,0,245
10,2012,POBI6,SIACS2,0.01,0,0.1,245
10,2012,POBI6,TRDA2,0.01,0,0.22,245
10,2012,POBI6,SEDES,0.01,0,0.06,245
10,2012,POBI6,PAPU2,0.01,0,0.07,245
10,2012,POBI6,GEROT,0.01,0,0.07,245
10,2012,POBI6,CARUD,0.01,0,0.18,245
10,2012,POBI6,2LICHN,0.01,0,0.15,245
10,2012,POBI6,ARSC,0.01,0,0.06,245
10,2012,POBI6,ARFEF3,0.01,0,0.01,245
10,2012,POBI6,FEBR,0.01,0,0.01,245
10,2012,POBI6,2BARE,0.01,0,0.01,245
10,2012,POBI6,LUSP4,0.01,0,0.01,245
10,2014,POBI6,MIOB2,0.01,0,0.06,155
10,2014,POBI6,CARUD,0.01,0,0.23,155
10,2014,POBI6,2LTR,0.01,0,0.35,155
10,2014,POBI6,TRDA2,0.01,0,0.25,155
10,2014,POBI6,PAPU2,0.01,0,0.03,155
10,2014,POBI6,GEROT,0.01,0,0.08,155
10,2014,POBI6,PHPU5,0.01,0,0.02,155
10,2014,POBI6,ARPA18,0.01,0,0,155
10,2014,POBI6,ERSI3,0.01,0,0,155
10,2014,POBI6,SIACS2,0.01,0,0.09,155
10,2014,POBI6,FEBR,0.01,0,0.04,155
10,2014,POBI6,LLSE,0.01,0,0.02,155
10,2014,POBI6,TEACC,0.01,0,0.04,155
10,2014,POBI6,ARFEF3,0.01,0,0.02,155
10,2014,POBI6,2BARE,0.01,0,0.02,155
10,2014,POBI6,ARSC,0.01,0,0.02,155
10,2014,POBI6,ORALA,0.01,0,0,155
10,2014,POBI6,2LICHN,0.01,0,0.1,155
10,2014,POBI6,SEDES,0.01,0,0.09,155
10,2014,POBI6,LUSP4,0.01,0,0.03,155
10,2015,POBI6,MIOB2,0.02,0.01,0.05,184
10,2015,POBI6,ALGE,0.02,0.01,0,184
10,2015,POBI6,FEBR,0.02,0.01,0.02,184
10,2015,POBI6,TOPY,0.02,0.01,0,184
10,2015,POBI6,CARUD,0.02,0.01,0.28,184
10,2015,POBI6,PAPU2,0.02,0.01,0.03,184
10,2015,POBI6,GEROT,0.02,0.01,0.09,184
10,2015,POBI6,TRDA2,0.02,0.01,0.29,184
10,2015,POBI6,SIACS2,0.02,0.01,0.09,184
10,2015,POBI6,LLSE,0.02,0.01,0.06,184
10,2015,POBI6,ARFEF3,0.02,0.01,0.03,184
10,2015,POBI6,2LTR,0.02,0.01,0.23,184
10,2015,POBI6,ERPI6,0.02,0.01,0,184
10,2015,POBI6,ORALA,0.02,0.01,0.01,184
10,2015,POBI6,ARPA18,0.02,0.01,0.01,184
10,2015,POBI6,TEACC,0.02,0.01,0.01,184
10,2015,POBI6,MIRU3,0.02,0.01,0,184
10,2015,POBI6,LUSP4,0.02,0.01,0.01,184
